vol_number,vol_name,vol_type_primary,activity_evidence,last_known_eruption,elevation_m,lat,lon
211010,Campi Flegrei,Caldera,Eruption Observed,1538 CE,458,40.827,14.139
211020,Vesuvius,Stratovolcano,Eruption Observed,1944 CE,1281,40.821,14.426
211030,Ischia,Complex,Eruption Observed,1302 CE,789,40.73,13.897
211040,Stromboli,Stratovolcano,Eruption Observed,2021 CE,924,38.789,15.213
211042,Lipari,Stratovolcano(es),Eruption Dated,1230 CE,590,38.49,14.933
211050,Vulcano,Stratovolcano(es),Eruption Observed,1890 CE,500,38.404,14.962
211060,Etna,Stratovolcano(es),Eruption Observed,2021 CE,3320,37.748,14.999
211070,Campi Flegrei del Mar di Sicilia,Submarine,Eruption Observed,1867 CE,-8,37.1,12.7
211071,Pantelleria,Shield,Eruption Observed,1891 CE,836,36.77,12.02
212030,Milos,Stratovolcano(es),Eruption Dated,140 CE,751,36.699,24.439
212040,Santorini,Shield(s),Eruption Observed,1950 CE,367,36.404,25.396
212050,Nisyros,Stratovolcano,Eruption Observed,1888 CE,698,36.586,27.16
213020,Nemrut Dagi,Stratovolcano,Eruption Observed,1650 CE,2948,38.654,42.229
213030,Tenduruk Dagi,Shield,Eruption Observed,1855 CE,3514,39.356,43.874
213040,Ararat,Stratovolcano,Eruption Observed,1840 CE,5165,39.7,44.3
214010,Elbrus,Stratovolcano,Eruption Dated,50 CE,5642,43.351,42.442
221010,"Tair, Jebel at",Stratovolcano,Eruption Observed,2008 CE,244,15.55,41.83
221020,Zubair Group,Shield,Eruption Observed,2013 CE,191,15.05,42.18
221041,Dallol,Explosion crater(s),Eruption Observed,2011 CE,-48,14.242,40.3
221060,Alu-Dalafilla,Fissure vent(s),Eruption Observed,2008 CE,578,13.793,40.553
221080,Erta Ale,Shield,Eruption Observed,2020 CE,613,13.6,40.67
221100,Dubbi,Stratovolcano,Eruption Observed,1861 CE,1625,13.579,41.809
221101,Nabro,Stratovolcano,Eruption Observed,2012 CE,2218,13.37,41.7
221112,Alayta,Shield,Eruption Observed,1915 CE,1496,12.888,40.573
221113,Dabbahu,Stratovolcano,Eruption Observed,2005 CE,1401,12.595,40.48
221115,Manda Hararo,Shield(s),Eruption Observed,2009 CE,600,12.17,40.82
221122,Manda-Inakir,Fissure vent(s),Eruption Observed,1928 CE,600,12.38,42.2
221126,Ardoukoba,Fissure vent(s),Eruption Observed,1978 CE,298,11.58,42.47
221141,Dama Ali,Shield,Eruption Observed,1631 CE,1068,11.28,41.63
221190,Fentale,Stratovolcano,Eruption Observed,1820 CE,2007,8.975,39.93
221200,Kone,Caldera(s),Eruption Observed,1820 CE,1380,8.788,39.701
221250,Tullu Moye,Pyroclastic cone,Eruption Observed,1900 CE,2343,8.159,39.137
222020,South Island,Stratovolcano,Eruption Observed,1888 CE,800,2.63,36.6
222030,"Barrier, The",Shield,Eruption Observed,1921 CE,1032,2.32,36.57
222051,Emuruangogolak,Shield,Eruption Dated,1910 CE,1285,1.5,36.33
222090,Olkaria,Pyroclastic cone(s),Eruption Dated,1770 CE,2434,-0.904,36.292
222100,Longonot,Stratovolcano,Eruption Dated,1863 CE,2776,-0.914,36.446
222120,"Lengai, Ol Doinyo",Stratovolcano,Eruption Observed,2021 CE,2962,-2.764,35.914
222130,Chyulu Hills,Volcanic field,Eruption Dated,1855 CE,2188,-2.68,37.88
222160,Meru,Stratovolcano,Eruption Observed,1910 CE,4565,-3.25,36.75
222164,Ngozi,Caldera,Eruption Dated,1450 CE,2614,-8.989,33.554
222166,Rungwe,Stratovolcano,Eruption Dated,1250 CE,2953,-9.135,33.668
222170,Kyejo,Stratovolcano,Eruption Observed,1800 CE,2176,-9.229,33.792
223020,Nyamulagira,Shield,Eruption Observed,2021 CE,3058,-1.408,29.2
223030,Nyiragongo,Stratovolcano,Eruption Observed,2021 CE,3470,-1.52,29.25
223050,Visoke,Stratovolcano,Eruption Observed,1957 CE,3696,-1.458,29.485
224004,Santa Isabel,Shield,Eruption Observed,1923 CE,2999,3.588,8.762
224010,Cameroon,Stratovolcano,Eruption Observed,2000 CE,4095,4.203,9.17
