"name_1","name_2","hasc_2","fips"
Alabama,Autauga,US.AL.AU,01001
Alabama,Baldwin,US.AL.BD,01003
Alabama,Barbour,US.AL.BR,01005
Alabama,Bibb,US.AL.BI,01007
Alabama,Blount,US.AL.BU,01009
Alabama,Bullock,US.AL.BL,01011
Alabama,Butler,US.AL.BT,01013
Alabama,Calhoun,US.AL.CN,01015
Alabama,Chambers,US.AL.CM,01017
Alabama,Cherokee,US.AL.CH,01019
Alabama,Chilton,US.AL.CI,01021
Alabama,Choctaw,US.AL.CC,01023
Alabama,Clarke,US.AL.CK,01025
Alabama,Clay,US.AL.CY,01027
Alabama,Cleburne,US.AL.CB,01029
Alabama,Coffee,US.AL.CF,01031
Alabama,Colbert,US.AL.CL,01033
Alabama,Conecuh,US.AL.CO,01035
Alabama,Coosa,US.AL.CS,01037
Alabama,Covington,US.AL.CV,01039
Alabama,Crenshaw,US.AL.CA,01041
Alabama,Cullman,US.AL.CU,01043
Alabama,Dale,US.AL.DE,01045
Alabama,Dallas,US.AL.DL,01047
Alabama,De Kalb,US.AL.DA,01049
Alabama,Elmore,US.AL.EL,01051
Alabama,Escambia,US.AL.ES,01053
Alabama,Etowah,US.AL.ET,01055
Alabama,Fayette,US.AL.FA,01057
Alabama,Franklin,US.AL.FR,01059
Alabama,Geneva,US.AL.GE,01061
Alabama,Greene,US.AL.GR,01063
Alabama,Hale,US.AL.HA,01065
Alabama,Henry,US.AL.HE,01067
Alabama,Houston,US.AL.HO,01069
Alabama,Jackson,US.AL.JA,01071
Alabama,Jefferson,US.AL.JE,01073
Alabama,Lamar,US.AL.LM,01075
Alabama,Lauderdale,US.AL.LU,01077
Alabama,Lawrence,US.AL.LW,01079
Alabama,Lee,US.AL.LE,01081
Alabama,Limestone,US.AL.LI,01083
Alabama,Lowndes,US.AL.LO,01085
Alabama,Macon,US.AL.MC,01087
Alabama,Madison,US.AL.MD,01089
Alabama,Marengo,US.AL.ME,01091
Alabama,Marion,US.AL.MI,01093
Alabama,Marshall,US.AL.MS,01095
Alabama,Mobile,US.AL.MB,01097
Alabama,Monroe,US.AL.MR,01099
Alabama,Montgomery,US.AL.MT,01101
Alabama,Morgan,US.AL.MG,01103
Alabama,Perry,US.AL.PE,01105
Alabama,Pickens,US.AL.PC,01107
Alabama,Pike,US.AL.PK,01109
Alabama,Randolph,US.AL.RA,01111
Alabama,Russell,US.AL.RU,01113
Alabama,Saint Clair,US.AL.SA,01115
Alabama,Shelby,US.AL.SH,01117
Alabama,Sumter,US.AL.SU,01119
Alabama,Talladega,US.AL.TD,01121
Alabama,Tallapoosa,US.AL.TP,01123
Alabama,Tuscaloosa,US.AL.TU,01125
Alabama,Walker,US.AL.WK,01127
Alabama,Washington,US.AL.WS,01129
Alabama,Wilcox,US.AL.WC,01131
Alabama,Winston,US.AL.WN,01133
Alaska,Aleutians East,US.AK.AE,02013
Alaska,Aleutians West,US.AK.AW,02016
Alaska,Anchorage,US.AK.AN,02020
Alaska,Bethel,US.AK.BE,02050
Alaska,Bristol Bay,US.AK.BR,02060
Alaska,Denali,US.AK.DE,02068
Alaska,Dillingham,US.AK.DI,02070
Alaska,Fairbanks North Star,US.AK.FA,02090
Alaska,Haines,US.AK.HA,02100
