iso3;name;year;conflict_stock_displacement;conflict_internal_displacements;disaster_internal_displacements;disaster_stock_displacement
AB9;Abyei Area;2023;42000;7900;1000;4400
AFG;Afghanistan;2023;4187000;;418000;1502000
AGO;Angola;2023;;;79000;26000
ARG;Argentina;2023;;;9800;14
ARM;Armenia;2023;7600;;;
ATG;Antigua and Barbuda;2023;;;300;
AUS;Australia;2023;;;4700;1300
AUT;Austria;2023;;;670;4
AZE;Azerbaijan;2023;658000;5100;1700;
BDI;Burundi;2023;8100;230;21000;66000
BEL;Belgium;2023;;;100;
BEN;Benin;2023;8800;6500;;
BFA;Burkina Faso;2023;2063000;707000;24000;
BGD;Bangladesh;2023;426000;;1791000;55000
BGR;Bulgaria;2023;;;250;
BIH;Bosnia and Herzegovina;2023;91000;;120;
BLR;Belarus;2023;;;48;
BOL;Bolivia;2023;;;3800;800
BRA;Brazil;2023;16000;16000;745000;16000
BRB;Barbados;2023;;;29;
BWA;Botswana;2023;;;99;99
CAF;Central African Republic;2023;512000;214000;70000;
CAN;Canada;2023;;;192000;700
CHE;Switzerland;2023;;;410;79
CHL;Chile;2023;;;44000;5000
CHN;China;2023;;;4702000;639000
CIV;Côte d'Ivoire;2023;;;1200;
CMR;Cameroon;2023;1044000;164000;2900;31000
COD;Dem. Rep. Congo;2023;6734000;3772000;133000;147000
COG;Congo;2023;;;159000;4700
COL;Colombia;2023;5077000;293000;351000;
CRI;Costa Rica;2023;;;290;
CUB;Cuba;2023;;;42000;290
CYP;Cyprus;2023;248000;;57;
CZE;Czech Republic;2023;;;64;
DEU;Germany;2023;;;3300;100
DNK;Denmark;2023;;;520;
DOM;Dominican Republic;2023;;;41000;390
DZA;Algeria;2023;;;23000;3900
ECU;Ecuador;2023;;;16000;4900
EGY;Egypt;2023;;;8;
ESP;Spain;2023;;;24000;
ETH;Ethiopia;2023;2852000;794000;618000;881000
FIN;Finland;2023;;;2;
FJI;Fiji;2023;;;6700;350
FRA;France;2023;;;7900;23
FSM;Micronesia;2023;;;5;
GAB;Gabon;2023;;;900;820
GBR;United Kingdom;2023;;;4600;
GEO;Georgia;2023;311000;;850;39000
GHA;Ghana;2023;3800;680;47000;39000
GIN;Guinea;2023;;;35000;2600
GMB;Gambia;2023;5700;;5300;
GRC;Greece;2023;;;91000;
GTM;Guatemala;2023;242000;580;48000;
GUM;Guam;2023;;;1600;
GUY;Guyana;2023;;;40;30
HKG;Hong Kong, China;2023;;;1300;
HND;Honduras;2023;101000;5100;5800;
HRV;Croatia;2023;;;86;
HTI;Haiti;2023;311000;245000;9800;2600
HUN;Hungary;2023;;;66;
IDN;Indonesia;2023;55000;2200;238000;9000
IMN;Isle of Man;2023;;;5;
IND;India;2023;613000;67000;528000;90000
IRL;Ireland;2023;;;17;
IRN;Iran;2023;;;124000;25
IRQ;Iraq;2023;1124000;21000;36000;135000
ISL;Iceland;2023;;;4600;3400
ISR;Israel;2023;200000;203000;42;
ITA;Italy;2023;;;42000;5
JEY;Jersey;2023;;;84;
JOR;Jordan;2023;;;340;
JPN;Japan;2023;;;8600;30000
KAZ;Kazakhstan;2023;120;;1700;
KEN;Kenya;2023;40000;7700;641000;131000
KGZ;Kyrgyzstan;2023;4000;;39;
KHM;Cambodia;2023;;;46000;5200
KOR;Korea;2023;;;40000;6000
LAO;Lao PDR;2023;;;1100;1100
LBN;Lebanon;2023;74000;139000;170;
LBR;Liberia;2023;;;14000;170
LBY;Libya;2023;119000;1700;53000;
LKA;Sri Lanka;2023;12000;;17000;1400
MAC;Macao, China;2023;;;3100;
MAR;Morocco;2023;;;146000;146000
MDG;Madagascar;2023;2800;;117000;
MDV;Maldives;2023;;;54;54
MEX;Mexico;2023;392000;11000;196000;
MKD;North Macedonia;2023;110;;;
MLI;Mali;2023;344000;152000;1300;8000
MMR;Myanmar;2023;2625000;1298000;995000;235000
MNE;Montenegro;2023;;;1;
MNG;Mongolia;2023;;;3900;1100
MNP;Northern Mariana Islands;2023;;;1100;
MOZ;Mozambique;2023;592000;41000;655000;115000
MRT;Mauritania;2023;;;1100;
MUS;Mauritius;2023;;;2300;73
MWI;Malawi;2023;;;660000;26000
MYS;Malaysia;2023;;;206000;9800
NAM;Namibia;2023;;;650;620
NCL;New Caledonia;2023;150;;2;
NER;Niger;2023;347000;181000;95000;32000
NGA;Nigeria;2023;3340000;291000;166000;81000
NIC;Nicaragua;2023;1300;280;660;
NOR;Norway;2023;;;5800;
NPL;Nepal;2023;;;110000;43000
NZL;New Zealand;2023;;;14000;2300
OMN;Oman;2023;;;4500;
PAK;Pakistan;2023;23000;2800;732000;1216000
PAN;Panama;2023;;;26;
PER;Peru;2023;75000;;188000;
PHL;Philippines;2023;113000;160000;2594000;291000
PNG;Papua New Guinea;2023;87000;2000;13000;7500
PRT;Portugal;2023;;;1700;
PRY;Paraguay;2023;;;16000;
PSE;Palestine;2023;1710000;3438000;;
REU;Réunion;2023;;;80;
ROU;Romania;2023;;;51;
RUS;Russia;2023;60000;60000;15000;1200
RWA;Rwanda;2023;;;70000;24000
SDN;Sudan;2023;9053000;6039000;58000;
SEN;Senegal;2023;8400;;;
SLB;Solomon Islands;2023;1000;;640;640
