country,hasc,region_indicator,raw_population_exposure_index,raw_economic_exposure,relative_population_exposure_index,relative_economic_exposure,poverty,economic_dependency,maternal_mortality,infant_mortality,malnutrition,population_change,urban_pop_change,school_enrollment,years_of_schooling,fem_to_male_labor,proportion_of_female_seats_in_government,life_expectancy,protected_area,physicians_per_10000_persons,nurse_midwife_per_10k,distance_to_hospital,hbeds_per_10000_persons,distance_to_port,road_density,households_with_fixed_phone,households_with_cell_phone,voter_participation
ARG,AR.BA,Buenos Aires,1.00,1.00,0.80,0.80,0.63,0.82,0.18,0.39,,0.49,,0.45,,,,0.48,0.12,0.28,,0.65,0.50,0.63,0.65,,,0.79
ARG,AR.DF,CABA,0.78,0.64,1.00,1.00,0.00,0.79,0.00,0.10,,0.00,,0.16,,,,0.03,0.03,1.00,,1.00,1.00,1.00,1.00,,,0.66
ARG,AR.CT,Catamarca,0.39,0.17,0.49,0.49,0.62,0.36,0.83,0.60,,0.44,,0.33,,,,0.30,0.46,0.21,,0.15,0.95,0.23,0.00,,,0.30
ARG,AR.CC,Chaco,0.59,0.40,0.68,0.70,0.78,0.68,0.24,0.63,,0.49,,0.77,,,,1.00,0.23,0.14,,0.89,0.37,0.52,0.56,,,0.32
ARG,AR.CH,Chubut,0.38,0.27,0.29,0.30,0.62,0.23,0.06,0.28,,0.74,,0.28,,,,0.30,0.60,0.46,,0.29,0.44,0.20,0.13,,,0.45
ARG,AR.CB,Córdoba,0.78,0.65,0.82,0.83,0.65,0.58,0.12,0.27,,0.49,,0.53,,,,0.35,0.21,0.81,,0.74,0.57,0.47,0.51,,,0.63
ARG,AR.CN,Corrientes,0.52,0.39,0.44,0.44,1.00,0.74,0.23,0.82,,0.44,,0.61,,,,0.65,0.42,0.40,,0.64,0.39,0.47,0.48,,,0.62
ARG,AR.ER,Entre Ríos,0.62,0.43,0.72,0.73,0.80,0.68,0.11,0.45,,0.45,,0.58,,,,0.52,0.15,0.36,,0.86,0.57,0.35,0.54,,,0.22
ARG,AR.FM,Formosa,0.34,0.24,0.21,0.19,0.54,0.92,1.00,1.00,,0.43,,0.50,,,,0.76,0.20,0.03,,0.88,0.46,0.69,0.44,,,0.32
ARG,AR.JY,Jujuy,0.50,0.31,0.54,0.55,0.52,0.49,0.16,0.59,,0.53,,0.32,,,,0.56,1.00,0.14,,0.72,0.49,0.00,0.30,,,0.74
ARG,AR.LP,La Pampa,0.35,0.13,0.45,0.45,0.53,0.69,0.04,0.14,,0.42,,0.45,,,,0.25,0.00,0.49,,0.33,0.43,0.48,0.42,,,0.69
ARG,AR.LR,La Rioja,0.35,0.16,0.41,0.43,0.49,0.00,0.31,0.33,,0.59,,0.45,,,,0.44,0.19,0.64,,0.60,1.00,0.00,0.03,,,0.64
ARG,AR.MZ,Mendoza,0.61,0.52,0.48,0.46,0.49,0.95,0.22,0.16,,0.51,,0.45,,,,0.22,0.31,0.49,,0.69,0.17,0.15,0.25,,,0.67
ARG,AR.MN,Misiones,0.54,0.42,0.46,0.46,0.63,0.83,0.22,0.43,,0.54,,0.82,,,,0.69,0.40,0.01,,0.75,0.18,0.45,0.37,,,0.54
ARG,AR.NQ,Neuquén,0.34,0.30,0.18,0.17,0.40,0.35,0.03,0.10,,0.63,,0.36,,,,0.00,0.67,0.74,,0.36,0.25,0.45,0.22,,,1.00
ARG,AR.RN,Río Negro,0.36,0.29,0.23,0.23,0.47,0.40,0.02,0.04,,0.60,,0.40,,,,0.21,0.52,0.58,,0.60,0.29,0.54,0.12,,,0.59
ARG,AR.SA,Salta,0.57,0.44,0.47,0.49,0.68,1.00,0.46,0.61,,0.59,,0.48,,,,0.55,0.46,0.16,,0.73,0.38,0.41,0.33,,,0.15
ARG,AR.SJ,San Juan,0.50,0.33,0.59,0.60,0.56,0.84,0.13,0.17,,0.51,,0.56,,,,0.46,0.71,0.41,,0.39,0.25,0.01,0.01,,,0.81
ARG,AR.SL,San Luis,0.48,0.22,0.76,0.77,0.51,0.46,0.48,0.36,,0.58,,0.48,,,,0.26,0.13,0.39,,0.42,0.14,0.49,0.34,,,0.72
ARG,AR.SC,Santa Cruz,0.00,0.15,0.00,0.00,0.16,0.10,0.17,0.30,,1.00,,0.17,,,,0.44,0.18,0.44,,0.00,0.46,0.42,0.17,,,0.00
ARG,AR.SF,Santa Fe,0.77,0.64,0.80,0.82,0.59,0.53,0.01,0.18,,0.38,,0.61,,,,0.49,0.16,0.74,,0.85,0.38,0.61,0.55,,,0.50
ARG,AR.SE,Santiago del Estero,0.58,0.35,0.80,0.82,0.72,0.77,0.13,0.48,,0.47,,1.00,,,,0.68,0.02,0.00,,0.60,0.56,0.55,0.52,,,0.60
ARG,AR.TF,Tierra del Fuego,0.22,0.00,0.39,0.39,0.14,0.00,0.19,0.00,,0.98,,0.00,,,,0.07,0.34,1.00,,0.00,0.00,0.59,0.01,,,0.12
ARG,AR.TM,Tucumán,0.67,0.48,0.88,0.89,0.53,0.70,0.12,0.52,,0.56,,0.57,,,,0.49,0.56,0.50,,0.88,0.39,0.61,0.68,,,0.85
SV,SV.AH,AHUACHAPAN,0.33,,0.52,,0.88,0.40,0.30,0.81,0.78,0.69,,0.98,0.79,0.64,0.70,0.56,0.60,0.07,0.18,,0.17,,0.71,0.05,0.18,0.11
SV,SV.CA,CABANAS,0.01,,0.34,,1.00,0.98,0.09,0.33,0.23,0.46,,0.43,0.88,1.00,0.23,0.49,0.05,0.07,0.10,,0.41,,0.07,0.31,0.26,0.62
SV,SV.CH,CHALATENANGO,0.07,,0.30,,0.69,0.33,0.73,0.39,0.72,0.00,,0.49,0.65,0.71,0.79,0.44,0.11,0.49,0.63,,0.62,,0.00,0.85,0.05,0.96
SV,SV.CU,CUSCATLAN,0.19,,0.57,,0.53,0.32,0.00,0.00,0.21,0.91,,0.55,0.56,0.49,0.00,0.68,0.23,0.02,0.03,,0.20,,0.62,0.25,0.49,0.05
SV,SV.LI,LA LIBERTAD,1.00,,0.69,,0.29,0.18,0.40,0.75,0.37,1.00,,0.58,0.34,0.34,0.68,0.07,0.44,0.16,0.10,,0.00,,1.00,1.00,1.00,0.14
SV,SV.PA,LA PAZ,0.34,,0.64,,0.55,0.37,0.33,0.36,0.36,0.85,,0.59,0.60,0.38,0.36,0.76,0.78,0.02,0.06,,0.13,,0.58,0.23,0.00,0.00
SV,SV.UN,LA UNION,0.20,,0.59,,0.48,1.00,0.43,0.78,0.00,0.21,,1.00,1.00,0.91,1.00,0.73,0.55,0.02,0.00,,0.21,,0.58,0.36,0.63,1.00
SV,SV.MO,MORAZAN,0.00,,0.00,,0.93,0.74,0.68,0.72,0.10,0.57,,0.76,0.92,0.77,0.73,0.37,0.00,0.00,0.00,,0.11,,0.78,0.00,0.28,0.30
SV,SV.SM,SAN MIGUEL,0.59,,0.71,,0.47,0.48,0.17,0.88,0.17,0.48,,0.66,0.57,0.53,0.65,0.49,0.62,0.71,1.00,,0.95,,0.81,0.80,0.16,0.57
SV,SV.SS,SAN SALVADOR,1.00,,0.52,,0.00,0.00,0.33,0.66,0.75,0.13,,0.00,0.00,0.00,0.82,0.00,0.07,1.00,1.00,,1.00,,1.00,1.00,0.92,0.45
SV,SV.SV,SAN VICENTE,0.05,,0.48,,0.65,0.32,0.53,0.60,1.00,0.53,,0.09,0.55,0.42,0.46,0.54,0.26,0.72,0.86,,0.59,,0.94,0.57,0.10,0.33
SV,SV.SA,SANTA ANA,0.59,,0.35,,0.51,0.19,0.54,1.00,0.27,0.13,,0.74,0.60,0.44,0.47,0.95,0.42,0.50,0.40,,0.90,,0.47,0.76,0.53,0.47
SV,SV.SO,SONSONATE,0.55,,0.57,,0.51,0.27,0.86,0.65,0.68,0.50,,0.75,0.58,0.33,0.56,1.00,0.49,0.15,0.24,,0.25,,0.79,0.74,0.31,0.08
SV,SV.US,USULUTAN,0.51,,1.00,,0.75,0.50,1.00,0.53,0.10,0.31,,0.27,0.62,0.55,0.70,0.44,1.00,0.19,0.19,,0.44,,0.81,0.65,0.49,0.52
ID,ID.AC,Aceh,0.53,0.52,0.61,0.56,0.50,0.54,0.23,0.49,,0.55,0.69,0.11,0.43,0.70,0.65,0.50,0.66,0.60,1.00,,0.55,0.58,0.32,0.49,0.48,0.34
ID,ID.BA,Bali,0.44,0.16,0.40,0.40,0.01,0.06,0.00,0.15,,0.23,0.44,0.54,0.50,0.03,0.85,0.29,0.14,0.88,0.52,,0.51,0.76,0.94,0.91,0.78,0.48
ID,ID.BT,Banten,0.70,0.47,0.47,0.47,0.07,0.15,0.15,0.21,,0.65,0.39,0.35,0.53,0.77,0.34,0.50,0.44,0.55,0.00,,0.10,0.54,0.81,0.78,0.67,0.49
ID,ID.BE,Bengkulu,0.33,0.35,0.76,0.76,0.50,0.20,0.26,0.15,,0.42,0.28,0.21,0.53,0.54,0.62,0.57,1.00,0.24,0.69,,0.30,0.77,0.27,0.63,0.57,0.64
ID,ID.YO,DI Yogyakarta,0.41,0.12,0.40,0.41,0.35,0.17,0.19,0.08,,0.22,0.33,0.00,0.38,0.00,0.73,0.00,0.02,1.00,0.32,,0.69,1.00,1.00,1.00,0.73,1.00
ID,ID.JK,DKI Jakarta,0.69,1.00,0.61,0.60,0.00,0.00,0.10,0.02,,0.16,0.00,0.32,0.00,0.62,0.48,0.21,0.00,1.00,0.19,,1.00,0.93,1.00,1.00,1.00,0.41
ID,ID.GO,Gorontalo,0.25,0.16,1.00,1.00,0.51,0.26,1.00,0.87,,0.40,0.87,0.27,0.76,0.65,0.17,0.69,0.73,0.24,0.40,,0.53,0.60,0.29,0.34,0.55,0.94
ID,ID.JA,Jambi,0.36,0.17,0.28,0.29,0.18,0.12,0.32,0.25,,0.46,0.39,0.12,0.59,0.81,0.57,0.38,0.69,0.37,0.77,,0.27,0.45,0.30,0.61,0.66,0.62
ID,ID.JR,Jawa Barat,1.00,0.93,0.45,0.46,0.15,0.21,0.21,0.17,,0.36,0.60,0.29,0.61,0.75,0.40,0.20,0.19,0.42,0.00,,0.09,0.54,0.80,0.84,0.69,0.39
ID,ID.JT,Jawa Tengah,0.92,0.72,0.45,0.46,0.31,0.27,0.24,0.21,,0.06,0.23,0.39,0.80,0.32,0.42,0.07,0.00,0.31,0.22,,0.27,0.71,0.65,0.77,0.58,0.19
ID,ID.JI,Jawa Timur,0.95,0.73,0.44,0.44,0.29,0.09,0.28,0.17,,0.00,0.25,0.34,0.79,0.36,0.65,0.37,0.19,0.40,0.14,,0.22,0.76,0.72,0.70,0.59,0.39
ID,ID.KB,Kalimantan Barat,0.43,0.36,0.25,0.28,0.17,0.36,0.27,0.19,,0.39,0.63,0.50,0.85,0.54,0.78,0.43,0.40,0.08,0.20,,0.20,0.00,0.12,0.58,0.50,0.36
ID,ID.KS,Kalimantan Selatan,0.42,0.25,0.35,0.35,0.05,0.27,0.36,0.43,,0.46,0.55,0.18,0.65,0.48,0.59,0.64,0.21,0.23,0.40,,0.27,0.73,0.38,0.56,0.76,0.43
ID,ID.KT,Kalimantan Tengah,0.35,0.33,0.49,0.50,0.06,0.06,0.60,0.53,,0.70,0.84,0.10,0.58,0.80,0.29,0.52,0.42,0.15,0.61,,0.12,0.25,0.13,0.50,0.80,0.16
ID,ID.KM,Kalimantan Timur,0.42,0.34,0.53,0.52,0.11,0.12,0.17,0.00,,0.70,0.59,0.27,0.31,0.86,0.77,0.07,0.13,0.55,0.58,,0.70,0.58,0.19,0.85,0.96,0.23
ID,ID.KU,Kalimantan Utara,0.00,0.00,0.33,0.33,0.13,,,,,1.00,0.81,1.00,0.48,1.00,0.43,0.24,0.70,0.42,1.00,,0.43,0.58,0.00,0.59,0.90,0.15
ID,ID.BB,Kepulauan Bangka Belitung,0.20,0.22,0.43,0.38,0.05,0.14,0.39,0.11,,0.65,0.65,0.39,0.70,0.85,1.00,0.44,0.07,0.27,0.34,,0.38,0.56,0.41,0.63,0.73,0.73
ID,ID.KR,Kepulauan Riau,0.13,0.61,0.00,0.00,0.10,0.21,0.11,0.26,,1.00,0.49,0.11,0.24,0.82,0.54,0.51,0.11,0.51,0.44,,0.45,0.78,0.53,0.86,0.95,0.50
