ABW,2011,8.9
AFG,2020,11.71
AGO,2010,9.43
AIA,2001,6.56
ALB,2013,15.866
ANT,2005,18.16
ARE,2017,2.462
ARG,2019,9.843
ARM,2014,17.499
ASM,2000,5.05
ATG,2001,8.42
AUS,2007,4.381
AUT,2004,5.969
AZE,2003,9.17
BDI,2020,1.03
BEL,1988,10.128
BEN,2002,0.69
BFA,2007,3.3
BGD,2017,4.372
BGR,2000,16.218
BHR,2012,1.2
BHS,2014,13.8
BIH,2008,23.405
BLR,2016,5.844
BLZ,2015,7.578
BMU,2010,6.49
BOL,2011,2.255
BRA,1990,4.703
BRB,2014,12.17
BRN,2019,6.6
BTN,2022,5.947
BWA,2003,23.8
CAN,2008,6.284
CHE,2020,4.817
CHL,1992,5.571
CHN,2020,5.61
CIV,2013,4.255
CMR,2007,3.063
COD,2020,1.466
COG,2012,10
COK,2011,8.15
COL,2023,9.594
COM,2004,4.571
CPV,2018,12.17
CRI,2005,6.749
CUB,2006,1.913
CUW,2013,13.03
CYM,2002,5.37
CYP,2014,16.277
CZE,2012,6.979
DEU,2012,5.372
DJI,2017,26.064
DMA,2001,10.96
DNK,1986,6.033
DOM,2018,5.861
DZA,2011,9.96
ECU,2001,4.252
EGY,2020,7.974
ESP,2020,15.532
EST,2015,6.412
ETH,2021,3.935
FIN,2017,8.64
FJI,2016,4.32
FLK,2012,1.25
FRA,2000,10.218
FRO,2008,2.36
FSM,2014,8.863
GAB,2005,16.91
GBR,1995,8.694
GEO,2018,12.667
GHA,1991,3.489
GIN,2002,4.549
GLP,2011,22.64
GMB,2018,4.127
GNB,2018,3.196
GRC,2020,15.899
GRD,2014,24.5
GRL,2003,10.3
GTM,2016,2.583
GUF,2002,23.36
GUM,2001,13.213
GUY,2018,14.019
HKG,2019,2.917
HND,2022,7.037
HRV,2012,16.004
HTI,2012,14.1
HUN,1996,10.022
IDN,2020,4.255
IMN,2001,1.6
IND,2012,3.222
IRL,2003,4.478
IRN,2022,9.085
IRQ,2012,7.965
ISL,2022,3.789
ISR,2017,4.14
ITA,2021,9.532
JAM,2002,14.191
JEY,2009,2.7
JOR,2007,13.1
JPN,2006,4.192
KAZ,2011,5.39
KEN,2016,2.757
KGZ,2016,3.249
KHM,2000,2.764
KIR,2020,10.971
KNA,2001,5.12
KOR,2004,3.42
KOS,2022,12.093
KWT,2014,2.9
LAO,2022,1.209
LBN,2004,7.85
LBR,2017,5.947
LBY,2012,19.03
LCA,2006,16
LIE,2005,2.66
LKA,2010,4.784
LSO,2008,35.46
LTU,2019,6.255
LUX,2003,3.675
LVA,2008,7.739
MAC,2003,5.995
MAR,2000,13.58
MCO,2016,6.33
MDA,2011,2.677
MDG,2000,5.8
MDV,2016,5.77
MEX,2000,2.646
MHL,2021,9.823
MKD,2007,35.231
MLI,2011,6.9
MLT,2022,2.929
MMR,2015,0.766
MNE,2005,30.31
MNG,2009,5.86
MNP,2010,11.17
MOZ,2015,3.426
MRT,2019,10.416
MSR,2006,13.74
MTQ,2016,17.6
MUS,2021,7.719
MWI,2020,0.907
MYS,2013,3.16
NAM,2012,16.771
NCL,2004,16.31
NER,2017,7.769
NGA,2015,4.311
NIC,2009,8.16
NIU,2022,0.646
NLD,1989,8.704
NOR,2014,3.486
NPL,2017,10.66
NRU,2011,22.96
NZL,2000,6.13
OMN,2020,2.94
PAK,2019,4.83
PAN,2002,14.11
PER,2004,4.707
PHL,2017,2.552
PLW,2014,1.357
PNG,2010,2.002
POL,2009,8.167
PRI,2018,9.2
PRT,2003,6.132
PRY,2013,4.385
PSE,2004,23.215
PYF,2002,11.71
QAT,2004,1.48
REU,2002,28.3
ROU,2003,6.95
RUS,2001,8.978
RWA,2021,15.793
SAU,2018,6.029
SDN,2022,2.754
SEN,2018,3.567
SGP,2016,4.08
SHN,2003,13.01
SLB,2013,0.694
SLE,2003,3.879
SLV,2009,7.33
SMR,2017,7.89
SOM,2019,18.828
SRB,2015,17.66
SSD,2008,12.15
STP,2005,16.47
SUR,2012,8.1
SVK,2012,13.966
SVN,2008,4.379
SWE,2020,8.291
SWZ,2016,22.718
SYC,2005,5.5
SYR,2001,11.63
TCA,2008,8.3
TCD,2018,1.135
TGO,2015,2.204
THA,2016,0.688
TJK,2007,2.874
TKM,2010,4
TLS,2010,3.301
TON,2021,2.111
TTO,2004,8.33
TUN,2009,13.291
TUR,2014,9.901
TUV,2016,8.489
TWN,2012,4.241
TZA,2001,2.994
UGA,2012,3.551
UKR,2015,9.14
URY,1999,10.466
USA,1995,5.65
UZB,2008,4.89
VCT,2008,18.79
VEN,2010,7.112
VNM,2021,2.385
VUT,2019,5.445
WLF,2019,3.381
WSM,2017,9.4
X01,2011,6.231
X02,2008,4.76
X03,2017,6.481
X04,2012,5.373
X05,2021,5.621
X06,2000,7.707
X21,2012,7.036
X36,2011,7.213
X40,2006,5.393
X60,2007,7.185
YEM,2009,14.63
ZAF,2012,21.786
ZMB,2012,7.85
ZWE,2021,9.54
